id,sex,age,height,weight,headband,college,tattoos,tchests,parrots,favorite.pirate,sword.type,eyepatch,sword.time,beard.length,fav.pixar,grogg,favorite.sea
1,male,28.0,173.11,70.5,yes,JSSFP,9.0,0.0,0,Jack Sparrow,cutlass,1.0,0.58,16.0,"Monsters, Inc.",11.0,
2,male,31.0,209.25,105.6,yes,JSSFP,9.0,11.0,0,Jack Sparrow,cutlass,0.0,1.11,21.0,WALL-E,9.0,
3,male,26.0,169.95,77.1,yes,CCCC,10.0,10.0,1,Jack Sparrow,cutlass,1.0,1.44,19.0,Inside Out,7.0,
4,female,31.0,144.29,58.5,no,JSSFP,2.0,0.0,2,Jack Sparrow,scimitar,1.0,36.11,2.0,Inside Out,9.0,
5,female,41.0,157.85,58.4,yes,JSSFP,9.0,6.0,4,Hook,cutlass,1.0,0.11,0.0,Inside Out,14.0,
6,male,26.0,190.2,85.4,yes,CCCC,7.0,19.0,0,Jack Sparrow,cutlass,1.0,0.59,17.0,Monsters University,7.0,
7,female,31.0,158.05,59.6,yes,JSSFP,9.0,1.0,7,Blackbeard,cutlass,0.0,3.01,1.0,Cars,9.0,
8,female,31.0,172.52,74.5,yes,JSSFP,5.0,13.0,7,Hook,cutlass,1.0,0.06,1.0,Inside Out,12.0,
9,female,28.0,164.57,68.7,yes,JSSFP,12.0,37.0,2,Anicetus,cutlass,0.0,0.74,1.0,Toy Story 3,16.0,
10,male,30.0,183.52,84.7,yes,JSSFP,12.0,69.0,4,Jack Sparrow,cutlass,1.0,0.71,25.0,Monsters University,9.0,
11,female,25.0,162.49,63.5,yes,CCCC,10.0,1.0,3,Blackbeard,cutlass,1.0,0.78,1.0,Inside Out,7.0,
12,male,20.0,163.65,70.0,yes,CCCC,14.0,5.0,3,Jack Sparrow,cutlass,0.0,0.47,27.0,"Monsters, Inc.",8.0,
13,female,24.0,171.04,72.6,yes,CCCC,8.0,6.0,0,Lewis Scot,cutlass,0.0,0.53,0.0,"Monsters, Inc.",12.0,
14,male,26.0,177.99,78.2,yes,CCCC,9.0,12.0,3,Jack Sparrow,cutlass,1.0,1.33,19.0,Inside Out,7.0,
15,female,45.0,167.65,65.4,yes,JSSFP,14.0,70.0,0,Hook,cutlass,1.0,0.33,0.0,Monsters University,9.0,
16,female,40.0,165.1,65.7,yes,JSSFP,8.0,3.0,1,Hook,scimitar,1.0,27.56,1.0,The Incredibles,10.0,
17,male,21.0,177.52,72.7,yes,CCCC,11.0,3.0,0,Jack Sparrow,cutlass,0.0,0.33,20.0,Finding Nemo,15.0,
18,female,30.0,158.3,65.6,yes,JSSFP,7.0,107.0,3,Blackbeard,cutlass,0.0,1.55,0.0,"Monsters, Inc.",8.0,
19,female,35.0,173.07,72.8,yes,JSSFP,7.0,75.0,14,Hook,cutlass,0.0,0.72,0.0,Finding Nemo,11.0,
20,male,26.0,175.45,69.0,yes,CCCC,14.0,30.0,3,Jack Sparrow,cutlass,0.0,0.4,27.0,WALL-E,10.0,
21,male,22.0,187.83,85.8,yes,CCCC,10.0,11.0,6,Jack Sparrow,cutlass,0.0,0.5,12.0,"Monsters, Inc.",6.0,
22,female,34.0,179.06,82.1,no,JSSFP,5.0,13.0,4,Edward Low,cutlass,1.0,0.03,2.0,Ratatouille,8.0,
23,male,23.0,158.66,53.5,yes,CCCC,13.0,11.0,1,Edward Low,cutlass,0.0,0.02,29.0,Finding Nemo,13.0,
24,male,12.0,175.29,83.0,yes,CCCC,10.0,3.0,2,Jack Sparrow,cutlass,1.0,0.14,24.0,Up,8.0,
25,male,35.0,187.48,85.6,yes,JSSFP,10.0,18.0,1,Jack Sparrow,sabre,1.0,11.23,17.0,Inside Out,2.0,
26,female,26.0,153.54,54.6,yes,CCCC,10.0,10.0,3,Blackbeard,cutlass,1.0,1.1,0.0,Inside Out,9.0,
27,male,15.0,171.48,66.0,no,CCCC,2.0,2.0,0,Jack Sparrow,banana,1.0,44.74,18.0,Inside Out,10.0,
28,male,30.0,177.04,71.9,yes,JSSFP,15.0,15.0,4,Edward Low,cutlass,1.0,0.35,29.0,Inside Out,15.0,
29,female,17.0,145.98,57.4,yes,CCCC,14.0,1.0,1,Hook,cutlass,0.0,0.18,0.0,Finding Nemo,11.0,
30,female,26.0,134.87,37.9,yes,CCCC,12.0,44.0,10,Edward Low,cutlass,1.0,0.59,1.0,Monsters University,2.0,
31,male,22.0,196.69,91.7,no,CCCC,2.0,54.0,1,Jack Sparrow,cutlass,1.0,2.19,17.0,Monsters University,11.0,
32,male,22.0,181.95,79.4,yes,CCCC,15.0,6.0,2,Hook,cutlass,1.0,0.12,29.0,Monsters University,9.0,
33,male,31.0,190.02,90.5,yes,JSSFP,13.0,3.0,1,Jack Sparrow,cutlass,1.0,0.29,24.0,Inside Out,7.0,
34,female,,162.6,61.0,yes,CCCC,13.0,15.0,6,Jack Sparrow,cutlass,1.0,1.26,0.0,"Monsters, Inc.",7.0,
35,male,23.0,178.24,75.1,yes,CCCC,17.0,2.0,1,Hook,cutlass,0.0,0.34,24.0,Brave,8.0,
36,female,18.0,163.09,63.3,yes,CCCC,9.0,14.0,0,Jack Sparrow,cutlass,0.0,0.14,0.0,Monsters University,9.0,
37,other,27.0,161.2,63.6,no,CCCC,0.0,3.0,"""1""",Lewis Scot,scimitar,1.0,8.48,3.0,A Bug's Life,8.0,
38,female,31.0,158.03,63.0,yes,JSSFP,8.0,1.0,2,Lewis Scot,cutlass,1.0,1.57,0.0,A Bug's Life,13.0,
39,female,25.0,129.83,33.0,no,CCCC,6.0,39.0,1,Edward Low,sabre,0.0,1.13,1.0,Finding Nemo,13.0,
40,female,36.0,153.68,61.7,yes,JSSFP,9.0,18.0,6,Anicetus,cutlass,1.0,0.17,0.0,Up,12.0,
41,female,24.0,158.88,59.2,yes,CCCC,18.0,58.0,3,Jack Sparrow,cutlass,1.0,0.53,0.0,A Bug's Life,4.0,
42,female,27.0,176.59,69.3,yes,CCCC,13.0,1.0,1,Edward Low,cutlass,1.0,1.35,1.0,Inside Out,8.0,
43,female,26.0,158.6,67.7,yes,CCCC,15.0,10.0,2,Edward Low,cutlass,0.0,0.93,0.0,WALL-E,9.0,
44,male,28.0,178.66,82.6,yes,CCCC,4.0,0.0,2,Jack Sparrow,cutlass,1.0,0.28,8.0,"Monsters, Inc.",19.0,
45,male,28.0,167.63,65.9,yes,CCCC,8.0,17.0,5,Jack Sparrow,cutlass,1.0,0.51,17.0,Toy Story 3,10.0,
46,female,24.0,176.23,75.3,yes,CCCC,14.0,14.0,8,Blackbeard,cutlass,1.0,0.23,0.0,Inside Out,6.0,
47,female,23.0,157.7,64.9,yes,CCCC,12.0,56.0,2,Lewis Scot,cutlass,1.0,0.89,0.0,Up,9.0,
48,male,27.0,166.62,67.8,no,CCCC,8.0,26.0,3,Lewis Scot,banana,1.0,31.39,11.0,"Monsters, Inc.",7.0,
49,male,20.0,160.64,70.7,yes,CCCC,9.0,9.0,2,Jack Sparrow,cutlass,0.0,0.19,16.0,Toy Story 3,10.0,
50,female,28.0,151.61,60.8,yes,CCCC,8.0,1.0,0,Lewis Scot,cutlass,0.0,1.0,1.0,Finding Nemo,9.0,
51,male,26.0,170.25,71.0,yes,CCCC,9.0,13.0,1,Jack Sparrow,cutlass,1.0,0.79,15.0,Up,10.0,
52,other,35.0,179.06,74.1,yes,JSSFP,13.0,0.0,4,Anicetus,cutlass,0.0,0.43,13.0,Ratatouille,13.0,
53,male,27.0,191.01,89.6,yes,CCCC,11.0,6.0,1,Jack Sparrow,cutlass,1.0,0.92,15.0,Inside Out,5.0,
54,female,38.0,160.91,58.2,yes,JSSFP,12.0,102.0,3,Lewis Scot,cutlass,1.0,0.51,1.0,Inside Out,0.0,
55,male,18.0,161.41,63.8,yes,CCCC,8.0,1.0,5,Jack Sparrow,cutlass,1.0,0.68,13.0,Inside Out,12.0,
56,male,24.0,187.51,83.4,yes,CCCC,8.0,17.0,1,Jack Sparrow,cutlass,0.0,0.46,19.0,Toy Story,11.0,
57,male,26.0,182.52,76.7,yes,CCCC,15.0,36.0,1,Jack Sparrow,cutlass,0.0,2.91,20.0,"Monsters, Inc.",18.0,
58,female,30.0,156.38,57.2,yes,CCCC,9.0,35.0,0,Anicetus,cutlass,1.0,0.14,0.0,Inside Out,7.0,
59,male,25.0,170.51,73.9,yes,CCCC,8.0,25.0,9,Jack Sparrow,cutlass,1.0,0.67,23.0,Monsters University,15.0,
60,female,32.0,151.83,46.8,no,JSSFP,2.0,20.0,2,Hook,scimitar,1.0,13.8,1.0,WALL-E,10.0,
61,female,37.0,147.82,52.2,yes,JSSFP,14.0,38.0,17,Jack Sparrow,cutlass,1.0,0.1,1.0,Monsters University,8.0,
